n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,hhsize,headage,numchildren,age,num_emp,area,ch,ced,l_fields,m_fields,cd_field,cd_garden,cd_tree,cd_gardentree
n_species,1,0.368484386093981,0.151010154542307,0.997350318106112,0.0120994344147594,0.46716494837927,0.261515832819312,0.0554712115832822,-0.0373344581345266,0.0437174268203788,0.129535217451825,-0.13457351990912,0.0114904516118446,0.147057249759333,0.17840729863505,0.0214900466970661,-0.013410657559639,0.0648159284040112,0.187235103323337,-0.0859747268146497,0.124832619194104
n_ecosystems,0.368484386093981,1,0.109847510069701,0.369863996350887,0.000456465199192001,0.321102847047202,0.129780925334554,-0.0274322412497576,-0.0105274189730748,-0.0214426327187745,0.0271655416484608,-0.15052060881297,-0.052728139346298,0.0965657041794674,0.0688715910726027,0.111771345428547,0.134853629186879,0.0281363883947523,0.0834845241629191,0.0402075738044709,0.0891997810641265
Sell,0.151010154542307,0.109847510069701,1,0.0993044212021147,-0.0103485000480891,0.0352262325776685,0.0964401583680119,-0.021046606653858,0.0368193727455698,0.0847943837568882,0.0225046742221735,0.0235061553326633,0.0508523622721934,0.127334492022621,0.191116162651225,0.0716279863279021,0.0306624060622099,0.102405387358324,0.00193458964430041,-0.0301298914916917,-0.00175979535116972
autoconsumption,0.997350318106112,0.369863996350887,0.0993044212021147,1,0.0127411445963698,0.474547754667064,0.260303047746788,0.0565837902785736,-0.0404813161282206,0.0403905146629048,0.132231030682405,-0.134356255188954,0.0101587674850481,0.138306019594426,0.164891561224538,0.0242105762425593,-0.0108810176102964,0.0618898316592478,0.188733204999133,-0.0830965049300534,0.12737630746222
O_uses,0.0120994344147594,0.000456465199192001,-0.0103485000480891,0.0127411445963698,1,-0.0490470209905017,-0.0205347935988045,-8.74579996621959e-05,0.00176465901876079,-0.0522498824378968,0.0162645767476408,-0.045651570605807,0.0417307494070394,-0.0292234767478382,-0.0274138329039669,0.00859096348264599,0.0170556068437296,-0.0486966625874236,-0.0628928844863418,0.00291504978372038,-0.0482308039310738
n_preparations,0.46716494837927,0.321102847047202,0.0352262325776685,0.474547754667064,-0.0490470209905017,1,0.142770342088128,0.0362322355234138,0.0277517198674634,0.00957371172141385,0.16511850130822,-0.0969634775305311,0.0186259371458507,0.0340437348134435,0.0327047348964752,0.0143292033834485,0.0147757601165749,0.0938676650541207,0.0240826346703658,-0.000821531522568601,0.0265663617196182
n_Agr_pract,0.261515832819312,0.129780925334554,0.0964401583680119,0.260303047746788,-0.0205347935988045,0.142770342088128,1,-0.0144094411582592,-0.0282218328006272,-0.086473636855365,0.00164082162139295,-0.147296934671317,-0.00521768791478761,0.0427610438157949,0.0251895394165181,0.0344737233929847,-0.010547921250633,0.0763919341392793,0.0474022789128926,0.0170959822244972,0.0470950398206519
hhsize,0.0554712115832822,-0.0274322412497576,-0.021046606653858,0.0565837902785736,-8.74579996621959e-05,0.0362322355234138,-0.0144094411582592,1,0.314744252771883,0.37790787744657,0.005029328483549,0.0241950449146058,0.0491446622112622,-0.000759115691828382,0.0293966609067231,-0.0454269891924928,-0.056467874294852,0.0825271929232438,0.0665830992881378,0.0942950062656372,0.100032325653861
headage,-0.0373344581345266,-0.0105274189730748,0.0368193727455698,-0.0404813161282206,0.00176465901876079,0.0277517198674634,-0.0282218328006272,0.314744252771883,1,-0.105577988047988,0.356565855992535,0.0893490054396736,-0.0465885924887719,-0.168716210109113,-0.116804437945223,-0.0505115690196846,-0.0722569089187175,0.0544132720462843,0.130450615789913,0.122842773476101,0.175766631355023
numchildren,0.0437174268203788,-0.0214426327187745,0.0847943837568882,0.0403905146629048,-0.0522498824378968,0.00957371172141385,-0.086473636855365,0.37790787744657,-0.105577988047988,1,-0.209212396979066,-0.0648011000033273,0.0171065230178447,-0.0148821236622726,0.00939207813216951,-0.0225142347442636,-0.0321783559042392,-0.0452423014764545,0.0501212422960456,0.000255321348459221,0.044761594723386
age,0.129535217451825,0.0271655416484608,0.0225046742221735,0.132231030682405,0.0162645767476408,0.16511850130822,0.00164082162139295,0.005029328483549,0.356565855992535,-0.209212396979066,1,-0.00865538516977631,0.00302481173493224,-0.0695090684410909,-0.0531751961551901,0.041676023390062,0.050897335984374,0.165384473114216,0.132007960704102,0.154690005765645,0.178597781085498
num_emp,-0.13457351990912,-0.15052060881297,0.0235061553326633,-0.134356255188954,-0.045651570605807,-0.0969634775305311,-0.147296934671317,0.0241950449146058,0.0893490054396736,-0.0648011000033273,-0.00865538516977631,1,-0.0707432235351145,-0.0368859505349221,0.0211914137632782,-0.0210657705923705,0.00508503196892261,0.0364512517949835,0.00972102529442327,-0.0730580744626785,-0.00699354046504892
area,0.0114904516118446,-0.052728139346298,0.0508523622721934,0.0101587674850481,0.0417307494070394,0.0186259371458507,-0.00521768791478761,0.0491446622112622,-0.0465885924887719,0.0171065230178447,0.00302481173493224,-0.0707432235351145,1,0.268806327529854,0.262694251642614,0.142855393221534,0.0954996795582533,0.123177200265473,-0.0572079743479136,-0.095392880263341,-0.0866997176765036
ch,0.147057249759333,0.0965657041794674,0.127334492022621,0.138306019594426,-0.0292234767478382,0.0340437348134435,0.0427610438157949,-0.000759115691828382,-0.168716210109113,-0.0148821236622726,-0.0695090684410909,-0.0368859505349221,0.268806327529854,1,0.841412668530172,0.303221047927981,0.320467152698078,0.152534972271473,0.00907964467370923,0.00150317865936192,0.00870408182776758
ced,0.17840729863505,0.0688715910726027,0.191116162651225,0.164891561224538,-0.0274138329039669,0.0327047348964752,0.0251895394165181,0.0293966609067231,-0.116804437945223,0.00939207813216951,-0.0531751961551901,0.0211914137632782,0.262694251642614,0.841412668530172,1,0.230185663589075,0.252390103339399,0.0579396198619094,-0.0530920448012158,-0.0251192482894533,-0.0543277765929295
l_fields,0.0214900466970661,0.111771345428547,0.0716279863279021,0.0242105762425593,0.00859096348264599,0.0143292033834485,0.0344737233929847,-0.0454269891924928,-0.0505115690196846,-0.0225142347442636,0.041676023390062,-0.0210657705923705,0.142855393221534,0.303221047927981,0.230185663589075,1,0.915742414758313,0.1889303003909,0.0950829628515298,0.0764488249377088,0.101368165092335
m_fields,-0.013410657559639,0.134853629186879,0.0306624060622099,-0.0108810176102964,0.0170556068437296,0.0147757601165749,-0.010547921250633,-0.056467874294852,-0.0722569089187175,-0.0321783559042392,0.050897335984374,0.00508503196892261,0.0954996795582533,0.320467152698078,0.252390103339399,0.915742414758313,1,0.19165425647544,0.0896145663259149,0.081204476749382,0.0972677547445985
cd_field,0.0648159284040112,0.0281363883947523,0.102405387358324,0.0618898316592478,-0.0486966625874236,0.0938676650541207,0.0763919341392793,0.0825271929232438,0.0544132720462843,-0.0452423014764545,0.165384473114216,0.0364512517949835,0.123177200265473,0.152534972271473,0.0579396198619094,0.1889303003909,0.19165425647544,1,0.109657760679639,0.092429834919966,0.132220282519276
cd_garden,0.187235103323337,0.0834845241629191,0.00193458964430041,0.188733204999133,-0.0628928844863418,0.0240826346703658,0.0474022789128926,0.0665830992881378,0.130450615789913,0.0501212422960456,0.132007960704102,0.00972102529442327,-0.0572079743479136,0.00907964467370923,-0.0530920448012158,0.0950829628515298,0.0896145663259149,0.109657760679639,1,0.234459993696428,0.891902975886312
cd_tree,-0.0859747268146497,0.0402075738044709,-0.0301298914916917,-0.0830965049300534,0.00291504978372038,-0.000821531522568601,0.0170959822244972,0.0942950062656372,0.122842773476101,0.000255321348459221,0.154690005765645,-0.0730580744626785,-0.095392880263341,0.00150317865936192,-0.0251192482894533,0.0764488249377088,0.081204476749382,0.092429834919966,0.234459993696428,1,0.625830629116873
cd_gardentree,0.124832619194104,0.0891997810641265,-0.00175979535116972,0.12737630746222,-0.0482308039310738,0.0265663617196182,0.0470950398206519,0.100032325653861,0.175766631355023,0.044761594723386,0.178597781085498,-0.00699354046504892,-0.0866997176765036,0.00870408182776758,-0.0543277765929295,0.101368165092335,0.0972677547445985,0.132220282519276,0.891902975886312,0.625830629116873,1
