region,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,headsex,elcsa_cat,edu,assistance,nonaginc,hhsize,age,wealthindex,num_emp,inc,area,l_fields,m_fields,cd_field,cd_garden,cd_tree,cd_gardentree
1576,Amarilis,2,1,0,2,0,1,1,0,1,1,0,1,2,39,1.0045903,2,2900,7.4710002,4,4,1,7,0,7
1577,Amarilis,4,1,0,4,0,3,1,0,1,1,1,1,9,30,-0.20634888,3,609,1.7652,2,2,2,3,0,3
1595,Molino-Umari,10,4,0,10,0,3,4,0,1,1,0,0,7,37,-0.34676802,1,3000,20,2,2,1,0,0,0
1600,Molino-Umari,3,1,0,3,0,1,3,0,1,1,1,0,4,35,0.22186045,1,2850,1.5884,2,2,2,9,4,13
1601,Molino-Umari,6,2,0,6,0,1,1,0,2,4,0,1,7,26,-0.082364783,2,600,0.375,1,1,1,12,0,12
1603,Molino-Umari,7,2,2,5,0,1,1,1,1,1,0,1,5,26,0.12797141,2,1200,6,2,2,6,2,1,3
1606,Molino-Umari,1,2,0,1,0,1,1,0,2,0,0,0,3,38,-0.68829262,1,600,0.2942,1,1,1,0,1,1
1612,Molino-Umari,7,1,0,7,0,3,1,1,1,4,0,1,7,25,0.046078358,3,9120,1,1,1,3,11,1,14
1614,Molino-Umari,5,2,0,5,0,3,1,0,1,1,0,0,5,32,-0.46471852,1,8000,1.0297,2,2,1,7,3,10
1615,Molino-Umari,1,1,0,1,0,1,1,1,1,2,0,1,4,20,-0.10407622,2,200,0.58840001,2,2,4,0,0,0
1619,Molino-Umari,2,1,0,2,0,1,1,0,1,1,0,0,6,33,-0.1130367,2,2020,1,1,1,5,9,0,11
1620,Molino-Umari,2,3,0,2,0,1,1,0,1,1,0,1,3,21,-0.16460943,2,128000,1.955,2,2,4,10,5,15
1621,Molino-Umari,2,2,0,2,0,1,1,0,1,0,0,0,5,39,-0.6721378,1,1000,0.71340001,2,2,3,7,5,12
1622,Molino-Umari,3,2,0,3,0,1,4,0,1,1,1,0,7,48,-0.5998801,2,5000,1.0076001,2,2,4,7,4,11
1626,Molino-Umari,1,3,0,1,0,1,1,0,1,1,0,0,6,37,-0.77441043,1,800,1.5884,2,2,4,7,4,11
1627,Molino-Umari,1,2,0,1,0,1,1,1,1,1,0,0,2,39,-0.5998801,1,800,0.2942,2,2,3,6,4,10
1629,Molino-Umari,3,3,0,3,0,3,1,0,1,1,0,0,5,29,-0.52129841,1,6560,3.5,3,3,4,4,3,7
1630,Molino-Umari,2,3,0,2,0,1,2,0,1,1,0,0,6,31,-0.52129841,1,3000,1.25,2,1,4,11,7,19
1633,Molino-Umari,3,2,0,3,0,2,1,0,0,1,0,0,5,34,-0.5074383,1,5000,0.73549998,2,2,3,6,1,7
1635,Molino-Umari,6,2,0,6,0,3,1,0,0,1,0,0,5,29,-0.6721378,1,100,0.58840001,1,1,3,6,4,10
1636,Molino-Umari,2,2,0,2,0,2,1,0,2,1,0,1,6,39,-0.90965116,1,400,0.88260001,2,2,1,0,2,2
1647,Molino-Umari,2,2,0,2,0,2,1,1,2,3,1,1,3,23,-0.5998801,1,360,0.25,1,1,0,8,5,13
1648,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,0,4,30,-0.34676802,1,4500,1.9123,4,4,2,7,1,8
1650,Molino-Umari,2,2,0,2,0,2,6,0,1,0,0,0,4,22,-0.77441043,1,300,0.88260001,2,2,2,3,0,3
1651,Molino-Umari,6,2,0,6,0,3,1,0,1,2,0,0,6,30,-0.24935904,1,1000,10,1,1,3,0,0,0
1652,Molino-Umari,8,2,0,8,0,3,1,1,1,0,0,0,6,34,-0.5998801,1,100,0.2942,1,1,2,0,1,1
1655,Molino-Umari,3,2,0,3,0,2,2,1,1,0,0,1,4,30,-0.41902572,2,15400,0.58840001,2,2,1,10,1,11
1657,Molino-Umari,2,1,0,2,0,2,1,0,1,1,0,0,5,42,-0.84666818,1,5000,1.1768,1,1,1,3,5,8
1660,Molino-Umari,4,2,0,4,0,2,1,1,3,1,0,1,5,39,-0.73512077,3,350,1,1,1,3,3,4,7
1661,Molino-Umari,2,3,0,2,0,1,5,0,1,3,0,0,2,25,-0.41902572,1,3000,1.2941999,2,2,4,0,0,0
1667,Molino-Umari,6,2,0,6,0,3,1,1,1,1,0,0,5,28,-0.34676802,2,5000,1.1768,1,1,1,7,2,9
1684,Molino-Umari,1,1,0,1,0,1,1,1,3,1,0,0,4,33,-0.77441043,1,200,0.2942,1,1,0,3,0,3
1687,Molino-Umari,2,2,0,2,0,1,1,0,1,0,0,0,6,40,-0.5998801,2,1100,1.125,2,2,3,0,6,6
1688,Molino-Umari,2,2,0,2,0,1,1,1,1,0,0,1,3,40,-0.98190886,3,1400,0.125,1,1,4,0,5,5
1690,Molino-Umari,1,1,0,1,0,1,1,1,2,1,0,1,6,34,-0.5998801,1,90,0.25,1,1,2,6,7,13
1694,Molino-Umari,3,2,0,3,0,1,1,0,2,1,0,0,4,28,-0.5998801,1,3000,0.2942,1,1,3,7,3,10
1695,Molino-Umari,2,2,1,1,0,1,1,0,2,0,0,1,3,46,-0.84666818,1,500,0.125,1,1,0,7,2,9
1696,Molino-Umari,9,2,0,9,0,3,1,0,3,2,0,1,4,20,-0.23215887,2,2050,2.3536,3,2,3,0,2,2
1697,Molino-Umari,4,5,0,4,0,3,1,0,1,3,0,0,3,26,-0.010531509,1,2500,0.58840001,3,3,5,9,6,15
1700,Molino-Umari,4,3,0,4,0,3,1,1,1,1,1,1,6,44,-0.80737853,2,1800,1.1768,2,2,6,11,5,18
1701,Molino-Umari,6,2,0,6,0,3,6,0,1,1,0,0,5,48,-0.65653908,1,1400,1.471,2,2,5,9,5,14
1702,Molino-Umari,7,2,0,7,0,2,6,0,1,0,0,0,4,30,-0.77441043,1,1000,1.0297,3,2,1,6,6,12
1703,Molino-Umari,1,2,0,1,0,1,1,0,1,1,0,0,5,24,-0.6721378,1,1500,0.73549998,3,3,2,7,9,16
1705,Molino-Umari,2,1,0,2,0,1,1,0,0,1,0,0,9,20,0.15173928,3,6400,1.1768,2,2,1,4,0,4
1706,Molino-Umari,3,3,0,3,0,3,1,1,2,1,0,0,4,34,-0.5998801,1,600,0.2942,2,2,1,7,5,12
1707,Molino-Umari,2,1,1,1,0,1,4,1,1,1,0,0,3,26,-0.48527092,2,1000,0.88260001,2,2,1,0,1,1
1710,Molino-Umari,3,2,0,3,0,1,1,0,1,1,0,0,4,45,-0.52129841,2,800,0.2942,1,1,3,0,4,4
1711,Molino-Umari,3,3,0,3,0,1,1,0,1,1,0,1,4,26,-0.34676802,2,3500,0.75,2,2,2,3,2,5
1712,Molino-Umari,4,2,0,4,0,4,7,1,3,1,1,0,4,41,-0.98190886,1,100,0.58840001,1,1,4,5,2,7
1716,Molino-Umari,3,1,0,3,0,3,1,0,2,0,0,1,7,41,-0.62051165,2,14400,1.1768,2,2,3,4,0,4
1718,Molino-Umari,6,3,0,6,0,3,3,0,1,3,1,1,6,24,-0.52129841,2,600,0.875,3,3,1,9,2,13
1719,Molino-Umari,5,1,0,5,0,1,7,1,1,0,0,0,7,42,-0.3044166,1,200,5.5883999,2,1,2,0,0,0
1721,Molino-Umari,2,3,0,2,0,1,1,0,2,1,0,0,6,27,-0.84666818,1,1000,0.1471,1,1,1,0,3,3
1722,Molino-Umari,2,1,0,2,0,1,1,0,1,1,1,0,5,24,-0.73512077,1,600,1.2941999,2,2,3,12,3,16
1723,Molino-Umari,3,2,0,3,0,3,1,0,2,1,0,0,4,28,-0.98190886,1,500,0.4413,2,2,3,0,3,3
1724,Molino-Umari,2,1,0,2,0,1,1,0,1,1,0,0,5,26,-0.19739836,1,300,0.125,1,1,3,0,1,1
1727,Molino-Umari,1,1,0,1,0,1,1,0,1,1,0,0,6,45,-0.23215887,2,2900,0.88260001,2,2,5,15,5,20
1728,Molino-Umari,4,2,0,4,0,3,1,1,2,0,0,0,4,40,-0.77441043,1,1000,1.471,2,2,5,4,4,10
1733,Molino-Umari,6,2,0,6,0,2,1,0,1,2,0,0,2,31,-0.732059,1,900,2.9419999,3,3,1,4,4,8
1734,Molino-Umari,3,2,0,3,0,1,1,0,0,1,0,1,6,42,0.33294097,2,18000,1.3239,2,2,4,1,4,5
1736,Molino-Umari,1,1,0,1,0,1,1,1,1,1,1,0,2,40,-0.80737853,1,1000,0,1,1,0,10,3,13
1738,Molino-Umari,3,1,0,3,0,1,1,0,0,3,0,0,4,28,0.61268032,2,1000,0.2942,1,1,3,0,0,0
1740,Molino-Umari,4,3,0,4,0,4,1,0,1,1,0,0,3,23,-0.55752861,1,1000,2.0297,4,4,6,8,3,11
1743,Molino-Umari,1,1,0,1,0,2,1,0,1,1,0,0,6,21,-0.84666818,1,500,0.58840001,3,3,4,4,2,6
1746,Molino-Umari,2,2,0,2,0,3,1,0,2,1,0,1,6,47,-0.84666818,2,1040,0.88260001,3,3,4,7,3,10
1747,Molino-Umari,7,2,0,7,0,3,1,0,1,1,0,0,8,46,-0.34676802,1,200,4,2,2,3,5,5,14
1749,Molino-Umari,3,2,0,3,0,1,1,0,1,4,0,0,3,24,-0.6721378,1,2000,1.7652,1,1,1,0,1,1
1750,Molino-Umari,1,2,0,1,0,1,2,0,2,2,0,0,8,26,-0.5998801,2,2500,0.58840001,1,1,2,5,2,7
1752,Molino-Umari,4,5,0,4,0,3,3,0,1,1,0,0,5,35,-0.77441043,1,600,0.73549998,3,3,4,5,1,6
1756,Molino-Umari,2,2,0,2,0,1,1,0,1,2,0,1,3,27,0.67842716,2,3500,1.1768,3,3,2,3,0,3
1757,Molino-Umari,5,1,0,5,0,4,5,0,1,0,0,0,5,47,-0.6721378,1,1000,1.1768,2,2,4,9,3,12
1759,Molino-Umari,7,3,0,7,0,3,6,0,1,0,0,0,5,45,-0.80737853,1,200,0.88260001,2,2,5,8,1,9
1760,Molino-Umari,6,3,0,6,0,2,8,1,1,2,0,0,4,38,-0.6721378,1,200,0.2942,1,1,3,6,1,7
1761,Molino-Umari,1,1,0,1,0,1,1,1,1,1,0,0,5,38,-0.23215887,3,1200,1.1768,2,2,4,5,9,14
1762,Molino-Umari,2,2,0,2,0,1,1,0,1,2,0,0,5,30,-0.082364783,1,2000,0.2942,1,1,2,4,0,4
1763,Molino-Umari,2,1,0,2,0,3,1,0,1,1,0,0,4,29,-0.47141084,1,500,0.2942,1,1,1,2,0,2
1765,Molino-Umari,2,1,0,2,0,1,1,0,1,1,1,1,4,28,-0.55752861,3,2290,0.5442,3,3,3,0,0,0
1768,Molino-Umari,4,2,0,4,0,1,3,0,1,1,0,1,4,24,-0.26122305,2,1400,2.5,2,2,2,3,0,3
1771,Molino-Umari,4,2,1,4,0,2,1,0,1,1,0,1,3,46,-0.3044166,2,1000,1,1,1,1,2,1,5
1774,Molino-Umari,1,1,0,1,0,1,1,1,1,2,1,1,4,42,0.89347166,3,450,0.58840001,1,1,0,8,1,9
1776,Molino-Umari,2,1,0,2,0,1,1,0,0,1,0,1,2,37,-0.5998801,2,4160,0.58840001,1,1,2,0,0,0
1778,Molino-Umari,2,3,0,2,0,1,1,0,2,0,0,0,6,43,0.10378271,1,1200,1.1768,1,1,1,9,5,14
1779,Molino-Umari,2,2,0,2,0,2,1,1,2,1,0,0,3,30,-0.55752861,1,400,0.2942,1,1,3,0,0,0
1780,Molino-Umari,2,2,0,2,0,1,1,0,0,1,0,0,6,39,-0.80737853,1,600,2,2,2,2,9,4,13
1781,Molino-Umari,3,2,0,3,0,3,1,0,1,1,0,1,5,36,-0.73512077,2,400,0.58840001,1,1,0,3,2,5
1783,Molino-Umari,4,1,0,4,0,1,1,0,1,1,0,0,5,28,0.37429386,2,900,0.2942,1,1,1,0,0,0
1786,Molino-Umari,9,2,0,9,0,2,2,0,2,1,0,0,6,44,-0.39917922,2,400,1.471,2,2,7,5,2,7
1787,Molino-Umari,8,2,0,8,0,3,1,0,0,1,0,0,5,35,-0.77441043,1,1000,0.88260001,1,1,1,10,5,16
1788,Molino-Umari,7,2,0,7,0,3,1,1,3,0,0,0,7,44,-0.90965116,1,200,1.1768,3,2,2,8,1,9
1794,Molino-Umari,1,2,0,1,0,1,1,0,1,1,0,0,10,36,-0.5998801,2,4500,1.3239,3,2,1,0,4,4
1795,Molino-Umari,3,1,0,3,0,1,4,0,2,0,0,0,4,27,-0.23215887,1,400,1.75,3,2,2,0,3,3
1799,Molino-Umari,8,2,0,8,0,3,6,0,2,0,0,0,5,41,-0.6598013,1,80,1.5,1,1,3,7,6,15
1800,Molino-Umari,5,3,0,5,0,2,1,0,1,1,0,0,5,35,0.58597314,2,6200,1.1768,3,3,1,0,6,6
1803,Molino-Umari,5,7,0,5,0,3,1,1,1,1,0,0,4,48,-0.98190886,1,400,0.58840001,2,2,3,4,5,11
1805,Molino-Umari,5,2,0,5,0,1,1,0,2,1,1,0,6,25,-0.6721378,1,2880,0.2942,1,1,2,0,0,0
1806,Molino-Umari,1,1,0,1,0,1,1,0,1,1,0,0,6,42,-0.26393849,1,1500,1.625,4,4,5,0,5,5
1807,Molino-Umari,8,4,1,8,0,3,5,0,2,1,0,0,5,38,-0.010826437,1,1000,3.5304499,4,3,3,7,4,13
1808,Molino-Umari,9,2,0,9,0,3,1,0,1,0,0,0,6,33,-0.81633902,1,15000,2.0594001,3,3,1,7,0,7
1811,Molino-Umari,7,5,0,7,0,2,4,0,2,1,0,0,6,28,-0.58659279,1,4000,1.75,3,3,1,10,0,10
1815,Molino-Umari,9,2,0,9,0,3,1,0,2,1,0,0,4,24,-0.55752861,1,4000,2.3536,4,4,0,7,0,7
1816,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,0,4,28,-0.6721378,1,1500,7.1767998,3,3,1,3,0,3
1817,Molino-Umari,4,1,0,4,0,1,1,0,1,1,0,1,6,28,-0.15074934,2,2200,2.2941999,2,1,1,0,0,0
1818,Molino-Umari,5,2,0,5,0,1,1,0,2,1,0,0,6,30,-0.6721378,1,2000,0.88260001,3,3,1,4,0,4
1819,Molino-Umari,5,1,0,5,0,1,1,0,1,1,0,0,4,26,-0.26731542,1,2000,1,1,1,0,8,0,8
1820,Molino-Umari,6,2,0,6,0,2,1,0,2,1,0,0,5,30,-0.10407622,1,2000,0.88260001,2,1,0,2,0,2
1822,Molino-Umari,3,4,0,3,0,1,1,0,1,2,0,0,4,24,-0.22519559,1,45000,16,3,2,1,4,0,4
1825,Molino-Umari,1,1,0,1,0,2,1,0,1,0,1,0,5,24,-0.98190886,1,1000,48,1,1,3,0,0,0
1827,Molino-Umari,4,2,0,4,0,1,2,0,1,1,0,1,4,24,-0.77441043,3,2600,1.5884,2,2,2,3,0,3
1828,Molino-Umari,5,3,0,5,0,2,1,0,2,2,0,0,11,26,-0.77441043,2,2000,5,2,2,1,6,0,6
1830,Molino-Umari,4,2,0,4,0,2,1,0,1,1,0,0,6,26,-0.52129841,1,600,2.3536,2,2,1,1,2,3
1831,Molino-Umari,6,3,0,6,0,3,1,0,1,1,0,0,7,35,-0.80737853,1,1000,1.25,2,2,1,2,0,2
1832,Molino-Umari,4,3,0,4,0,2,1,0,1,2,0,0,3,18,-0.55752861,1,4000,0.88260001,1,1,1,0,0,0
1833,Molino-Umari,5,1,0,5,0,1,3,0,1,1,0,0,6,26,-0.23686714,1,1300,2,1,1,1,10,0,10
1839,Molino-Umari,5,2,0,5,0,2,1,0,2,0,0,1,5,32,-0.5998801,3,1200,0.88260001,1,1,5,6,4,12
1840,Molino-Umari,8,2,0,8,0,2,1,0,1,2,0,1,4,34,-0.33619621,2,3500,0.2942,1,1,5,9,0,9
1845,Molino-Umari,1,2,0,1,0,1,1,0,2,1,0,0,5,39,-0.5736835,1,2500,0.88260001,3,3,1,6,1,9
1846,Molino-Umari,2,2,0,2,0,1,1,0,2,0,0,0,7,41,-0.98190886,1,500,0.88260001,2,2,3,6,1,7
1847,Molino-Umari,3,2,0,3,0,1,1,0,2,0,0,0,9,45,-0.90965116,1,1500,1.471,4,4,2,3,4,7
1849,Molino-Umari,4,2,0,4,0,1,1,0,2,2,0,0,4,19,-0.34676802,2,100,2,2,2,3,3,1,6
1853,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,0,4,26,-0.5998801,2,1300,0.88260001,2,2,1,4,0,4
1854,Molino-Umari,5,2,0,5,0,1,5,0,1,3,0,0,5,20,-0.3535395,1,1000,1.1768,3,1,1,4,1,5
1855,Molino-Umari,10,3,0,10,0,3,2,0,1,0,0,0,7,30,-0.22086769,1,3500,1.5,1,1,2,6,3,11
1856,Molino-Umari,6,2,0,6,0,3,4,0,1,0,0,0,4,39,-0.40773454,1,100,2.0883999,2,2,1,5,3,8
1858,Molino-Umari,5,3,0,5,0,1,1,0,1,1,0,0,5,20,-0.52129841,1,3000,0.25,1,1,3,6,2,8
1859,Molino-Umari,1,1,0,1,0,1,1,0,1,1,0,0,5,26,-0.55752861,3,2850,0.88260001,3,3,2,7,0,7
1862,Molino-Umari,3,2,0,3,0,1,1,0,0,0,0,0,6,43,-0.20634888,2,4500,0.88260001,2,2,3,10,0,10
1863,Molino-Umari,2,2,0,2,0,2,1,0,0,1,0,0,4,43,-0.3044166,2,5200,0.88260001,2,2,2,6,0,6
1867,Huánuco-Quisqui,6,1,0,6,0,2,1,1,1,1,0,0,5,34,-0.57178152,2,1300,2,1,1,4,13,0,13
1868,Huánuco-Quisqui,4,2,0,4,0,2,1,0,1,3,0,0,5,34,-0.52129841,2,2500,1,1,1,3,13,0,13
1871,Huánuco-Quisqui,3,2,0,3,0,3,1,0,1,1,0,0,3,31,0.079341345,1,1000,2,2,2,4,0,4,4
1872,Huánuco-Quisqui,4,2,0,4,0,1,1,0,1,3,0,0,4,22,-0.77441043,1,1000,0.58840001,1,1,1,2,1,3
1877,Huánuco-Quisqui,2,2,0,2,0,3,1,0,1,2,0,0,3,46,-0.4351806,1,3000,4,1,1,5,7,3,10
1879,Huánuco-Quisqui,4,3,0,4,0,3,1,0,1,1,0,0,4,32,-0.5998801,1,2000,3,3,3,4,9,5,14
1881,Huánuco-Quisqui,4,2,0,4,0,3,1,0,2,1,0,0,4,35,-0.98190886,1,500,1.471,2,1,1,2,3,5
1884,Huánuco-Quisqui,8,4,2,7,0,1,5,0,1,1,0,0,5,34,-0.77441043,2,6500,4,1,1,4,9,3,14
1886,Huánuco-Quisqui,3,2,0,3,0,3,1,1,2,1,0,0,3,42,-0.77441043,1,500,9,2,2,0,7,1,8
1888,Huánuco-Quisqui,3,2,0,3,0,1,1,0,1,0,0,1,2,45,-0.55296218,2,6000,1.8826001,2,1,2,8,2,10
1889,Huánuco-Quisqui,2,2,0,2,0,1,1,0,0,3,0,0,4,49,-0.5100072,2,3800,0.25,1,1,3,0,0,0
1892,Huánuco-Quisqui,2,2,0,2,0,3,1,0,1,4,0,0,3,25,-0.6598013,1,4000,3,1,1,3,3,2,5
1894,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,0,5,48,-0.41902572,1,500,2.0594001,3,3,5,5,1,6
1895,Molino-Umari,3,1,0,3,0,1,1,0,0,4,0,1,5,21,0.50626439,2,2001,0.5,1,1,5,11,2,17
1896,Molino-Umari,3,1,0,3,0,3,2,0,1,1,0,0,8,41,0.11403427,1,2000,2.5,2,2,6,5,1,6
1899,Molino-Umari,1,2,0,1,0,1,1,0,2,2,0,0,9,42,-0.41902572,1,1500,1.471,3,3,5,7,6,13
1900,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,1,3,44,-0.6721378,3,1900,0.58840001,2,2,2,6,0,6
1902,Molino-Umari,2,1,0,2,0,2,1,0,1,3,1,0,4,38,0.25357679,2,2000,0.88260001,1,1,1,0,3,3
1904,Molino-Umari,2,2,0,2,0,1,2,0,1,2,1,0,4,29,-0.5998801,1,500,0.5,2,2,3,0,1,1
1908,Molino-Umari,1,1,0,1,0,1,1,0,1,3,0,0,3,20,-0.5998801,2,2180,0.2942,1,1,1,3,4,7
1909,Molino-Umari,2,1,0,2,0,1,1,0,1,1,0,0,5,38,-0.49242902,1,2880,0,1,1,0,8,0,10
1914,Molino-Umari,2,1,0,2,0,1,1,0,1,3,0,1,4,42,-0.21829879,2,700,0.5,2,2,2,10,4,14
1917,Molino-Umari,7,2,0,7,0,2,1,0,1,1,0,0,5,48,0.031524993,2,6000,0.73549998,2,2,5,7,1,10
1918,Molino-Umari,2,2,0,2,0,1,6,0,1,2,0,1,2,22,0.042727757,2,1500,0.88260001,3,3,3,0,0,0
1919,Molino-Umari,2,2,0,2,0,1,1,1,1,2,0,0,2,42,0.77593392,1,200,0.73549998,1,1,2,5,2,8
1927,Molino-Umari,4,2,0,4,0,2,1,0,2,1,0,0,6,30,-0.80737853,1,2000,0.2942,1,1,3,5,0,5
1933,Molino-Umari,7,2,0,7,0,1,1,0,2,1,0,0,9,43,-0.73512077,1,200,1,1,1,2,8,5,13
1938,Molino-Umari,2,1,0,2,0,1,1,0,1,2,0,0,6,40,-0.34676802,1,2880,0.2942,1,1,2,0,0,0
1944,Molino-Umari,10,3,0,10,0,4,6,0,1,1,0,0,2,43,-0.5998801,1,200,0.4413,2,1,2,3,1,4
1949,Molino-Umari,2,3,0,2,0,3,2,0,1,0,0,0,4,48,-0.5998801,1,1500,0.4413,2,2,3,11,9,20
1950,Molino-Umari,1,6,0,1,0,1,1,0,1,0,0,1,4,30,-0.5998801,2,2000,0.22065,2,2,1,6,4,12
1951,Molino-Umari,6,2,0,6,0,3,4,0,1,1,0,0,5,40,-0.010826437,1,1000,4,2,2,6,10,9,21
1952,Molino-Umari,4,2,0,4,0,1,1,0,2,1,1,1,4,43,-0.43846887,2,2200,0.375,2,2,2,9,4,13
1953,Molino-Umari,4,7,0,4,0,3,1,0,1,1,0,0,3,23,-0.732059,1,4000,0.4413,2,2,1,6,4,10
1957,Molino-Umari,3,2,0,3,0,3,6,0,1,1,0,0,8,29,-0.58601999,1,1000,0.4413,2,2,4,9,0,9
1958,Molino-Umari,10,3,0,10,0,3,6,1,1,1,0,0,5,37,-0.41206244,1,2500,0.58840001,2,2,4,7,1,8
1960,Molino-Umari,6,2,0,6,0,3,1,0,1,1,0,0,4,38,0.061927501,1,2000,0.58840001,1,1,1,6,3,9
1961,Molino-Umari,8,2,0,8,0,1,1,0,1,1,0,0,5,43,-0.26393849,1,2000,0.4413,1,1,3,7,4,11
1965,Molino-Umari,8,4,0,8,0,3,1,1,1,1,1,1,3,27,-0.6721378,3,1500,0,1,1,0,11,0,11
1968,Molino-Umari,2,1,0,2,0,1,1,0,1,1,0,1,2,32,-0.40773454,2,3200,0.125,1,1,3,0,0,0
1995,Huánuco-Quisqui,1,1,0,1,0,1,1,1,1,2,0,0,8,42,1.0432657,2,5000,2,1,1,5,7,10,17
